Code fournisseur;libelle fournisseur;num article interne;type web;libelle article;code groupe;libelle groupe;code famille;libelle famille;code sous famille ;libelle sous famille;collection;modele;matiere;couleur;divers;photo;libelle taille;quantite;gencod interne;gencod fournisseur;pvttc;pvpromo;code tva;taux tva;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B_M;board and more;001103967;1;NTH;6;GLISSE MER;6;KITESURF;2;ACCESSOIRE KITE;H19;BARRE;2019;QUAD24;;;TU;1;9001103967017;;449.00;449.00;1;20
B_M;board and more;001103139;1;;6;GLISSE MER;6;KITESURF;1;AILE DE KITE;H19;DICE;2019;10;;;TU;1;9001103139018;;1449.00;1449.00;1;20
B_M;board and more;001094225;2;;6;GLISSE MER;2;SURF MER;1;ACCESSOIRE SURF EAU;E19;DRIFTSTO;;;;;TU;0;9001094225011;;99.00;99.00;1;20
B_M;board and more;001106468;1;;6;GLISSE MER;6;KITESURF;2;ACCESSOIRE KITE;E19;GEARBAGC;2019;165BLU;;;TU;1;9001106468016;;149.95;149.95;1;20
B_M;board and more;001108890;1;;6;GLISSE MER;6;KITESURF;0;PLANCHE DE KITE;H19;GONZALES;2019;151;;;TU;1;9001108890013;;499.00;499.00;1;20
B_M;board and more;001107371;1;;6;GLISSE MER;6;KITESURF;1;AILE DE KITE;H19;JUICE;2019;17;;;TU;1;9001107371018;;2049.00;2049.00;1;20
B_M;board and more;001106457;1;;6;GLISSE MER;1;WAKEBOARD;4;GILET FEMME;H19;LUNIS;2019;BLK;;;L4;0;9001106457010;;119.90;119.90;1;20
B_M;board and more;001106457;1;;6;GLISSE MER;1;WAKEBOARD;4;GILET FEMME;H19;LUNIS;2019;BLK;;;L6;1;9001106457027;;119.90;119.90;1;20
B_M;board and more;001106457;1;;6;GLISSE MER;1;WAKEBOARD;4;GILET FEMME;H19;LUNIS;2019;BLK;;;L8;0;9001106457034;;119.90;119.90;1;20
B_M;board and more;001106457;1;;6;GLISSE MER;1;WAKEBOARD;4;GILET FEMME;H19;LUNIS;2019;BLK;;;L10;0;9001106457041;;119.90;119.90;1;20
B_M;board and more;001106457;1;;6;GLISSE MER;1;WAKEBOARD;4;GILET FEMME;H19;LUNIS;2019;BLK;;;L12;0;9001106457058;;119.90;119.90;1;20
B_M;board and more;001106457;1;;6;GLISSE MER;1;WAKEBOARD;4;GILET FEMME;H19;LUNIS;2019;BLK;;;L14;0;9001106457065;;119.90;119.90;1;20
B_M;board and more;001106457;1;;6;GLISSE MER;1;WAKEBOARD;4;GILET FEMME;H19;LUNIS;2019;BLK;;;L16;0;9001106457072;;119.90;119.90;1;20
B_M;board and more;001107375;1;POMPE;6;GLISSE MER;6;KITESURF;2;ACCESSOIRE KITE;H19;POMPE;2019;;;;TU;3;9001107375016;;44.90;44.90;1;20
B_M;board and more;001110195;1;DUOTONE;6;GLISSE MER;6;KITESURF;0;PLANCHE DE KITE;H19;PROVOKE;2019;5'1;;;TU;1;9001110195014;;999.00;999.00;1;20
B_M;board and more;001099133;1;NORTH;6;GLISSE MER;6;KITESURF;0;PLANCHE DE KITE;H17;PROWAM;2018;6.0;;;TU;1;9001099133014;;999.00;999.00;1;20
B_M;board and more;001106511;1;;6;GLISSE MER;6;KITESURF;0;PLANCHE DE KITE;E19;PROWAM;2019;5.8;;;TU;1;9001106511019;;999.00;999.00;1;20
B_M;board and more;001099132;1;NTH;6;GLISSE MER;6;KITESURF;2;ACCESSOIRE KITE;E19;QUICKREL;2018;FREERI;;;TU;1;9001099132017;;59.00;59.00;1;20
B_M;board and more;001109286;1;;6;GLISSE MER;6;KITESURF;0;PLANCHE DE KITE;H19;SPIRITCA;2019;75;;;TU;1;9001109286013;;1199.00;1199.00;1;20
