Code fournisseur;libelle fournisseur;num article interne;type web;libelle article;code groupe;libelle groupe;code famille;libelle famille;code sous famille;libelle sous famille;collection;modele;matiere;couleur;divers;photo;matiere interne;couleur interne;divers interne;ligne produit;libelle taille;quantite;gencod interne;gencod fournisseur;pvttc;pvpromo;code tva;taux tva;date creation;date modification
YELLOZ;YELLOZ ROSE W;5040753;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;6802;;VERT;;;;;;;S;1;9,00504E+12;;44.99;44.99;1;20;20220921;20221226
YELLOZ;YELLOZ ROSE W;5040753;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;6802;;VERT;;;;;;;S/M;0;9,00504E+12;;44.99;44.99;1;20;20220921;20221226
YELLOZ;YELLOZ ROSE W;5040753;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;6802;;VERT;;;;;;;M;1;9,00504E+12;;44.99;44.99;1;20;20220921;20221226
YELLOZ;YELLOZ ROSE W;5040753;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;6802;;VERT;;;;;;;M/L;0;9,00504E+12;;44.99;44.99;1;20;20220921;20221226
YELLOZ;YELLOZ ROSE W;5040753;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;6802;;VERT;;;;;;;XXXL;0;9,00504E+12;;44.99;44.99;1;20;20220921;20221226
YELLOZ;YELLOZ ROSE W;5039780;1;;2;FEMME;1;PETITS HAUTS FEMME;5;HAUTS;H22;9801;;LEOPAR;;;;;;;TU;1;9,00504E+12;;39.99;39.99;1;20;20220823;20221226
YELLOZ;YELLOZ ROSE W;5041443;1;;2;FEMME;0;PIECES A MANCHES FEMME;1;VESTES FEMME;H22;88021;ECRU;CAMEL;;;;;;;TU;1;9,00504E+12;;69.99;69.99;1;20;20221013;20221226
