Code fournisseur;libelle fournisseur;num article interne;type web;libelle article;code groupe;libelle groupe;code famille;libelle famille;code sous famille;libelle sous famille;collection;modele;matiere;couleur;divers;photo;matiere interne;couleur interne;divers interne;ligne produit;libelle taille;quantite;gencod interne;gencod fournisseur;pvttc;pvpromo;code tva;taux tva;date creation;date modification;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ASHLEY;ashley;005045174;1;;9;ACCESSOIRES;2;MAROQUINERIE;4;POCHETTE;E23;22128;ABEILL;ROSE;;;;;;;TU;1;9005045174014;;34.99;34.99;1;20;20230210;20230217
ASHLEY;ashley;005045170;1;;9;ACCESSOIRES;0;ACCESSOIRES TEXTILE;4;CEINTURES FEMME;E23;C6001;CUIR;CAMEL;;;;;;;TU;1;9005045170016;;19.99;19.99;1;20;20230210;20230217
ATIWEL;sarl atiwell mochimo;005043154;1;;9;ACCESSOIRES;1;BIJOUX;3;BAGUES;H22;3930;STRASS;DORÉ;;;;;;;TU;1;9005043154018;;14.99;14.99;1;20;20221128;20230218
ATIWEL;sarl atiwell mochimo;005041342;1;;9;ACCESSOIRES;1;BIJOUX;3;BAGUES;H22;IO08049N;AMOUR;DORÉ;;;;;;;TU;1;9005041342011;;14.99;14.99;1;20;20220930;20230221
ATIWEL;sarl atiwell mochimo;005029796;1;;9;ACCESSOIRES;1;BIJOUX;3;BAGUES;H22;IO09463;DORÉ;MARRON;;;;;;;TU;2;9005029796010;;14.99;14.99;1;20;20211119;20230218
AVANTG;avantgarde;005042677;1;;9;ACCESSOIRES;2;MAROQUINERIE;7;SAC FEMME;H22;BS2819;;VIOLET;;;;;;;TU;1;9005042677013;;79.99;79.99;1;20;20221117;20230221
BANDIT;banditas;005042571;1;;2;FEMME;3;MAILLE FEMME;3;PULL FEMME;H22;ANABEL;ÉCRITU;BLANC;;;;;;;TU;1;9005042571014;;49.99;49.99;1;20;20221116;20230217
BANDIT;banditas;005042255;1;;2;FEMME;3;MAILLE FEMME;3;PULL FEMME;H22;ANABEL;ÉCRITU;GRIS;;;;;;;TU;2;9005042255013;;49.99;49.99;1;20;20221029;20230220
BANDIT;banditas;005044263;1;;2;FEMME;3;MAILLE FEMME;3;PULL FEMME;E23;AURELIA;TDM;ANTHRA;;;;;;;TU;1;9005044263016;;44.99;44.99;1;20;20230117;20230220
BANDIT;banditas;005045344;1;;2;FEMME;1;PETITS HAUTS FEMME;3;BLOUSE;E23;FELICE;IMPRI;ROSE;;;;;;;TU;1;9005045344011;;59.99;59.99;1;20;20230215;20230215
BANDIT;banditas;005043783;1;;2;FEMME;1;PETITS HAUTS FEMME;5;HAUTS;E23;FLEUR;LOVE;ECRU;;;;;;;TU;2;9005043783010;;49.99;49.99;1;20;20221230;20230218
BANDIT;banditas;005044255;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;HIMALAYA;;NOIR;;;;;;;XXXS;0;9005044255028;;49.99;49.99;1;20;20230117;20230220
BANDIT;banditas;005044255;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;HIMALAYA;;NOIR;;;;;;;XXS;0;9005044255035;;49.99;49.99;1;20;20230117;20230220
BANDIT;banditas;005044255;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;HIMALAYA;;NOIR;;;;;;;XXS/;0;9005044255042;;49.99;49.99;1;20;20230117;20230220
BANDIT;banditas;005044255;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;HIMALAYA;;NOIR;;;;;;;XS;1;9005044255059;;49.99;49.99;1;20;20230117;20230220
BANDIT;banditas;005044255;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;HIMALAYA;;NOIR;;;;;;;XS/S;0;9005044255066;;49.99;49.99;1;20;20230117;20230220
BANDIT;banditas;005044255;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;HIMALAYA;;NOIR;;;;;;;S;1;9005044255073;;49.99;49.99;1;20;20230117;20230220
BANDIT;banditas;005044255;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;HIMALAYA;;NOIR;;;;;;;S/M;0;9005044255080;;49.99;49.99;1;20;20230117;20230220
BANDIT;banditas;005044255;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;HIMALAYA;;NOIR;;;;;;;M;1;9005044255097;;49.99;49.99;1;20;20230117;20230220
BANDIT;banditas;005044255;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;HIMALAYA;;NOIR;;;;;;;M/L;0;9005044255103;;49.99;49.99;1;20;20230117;20230220
BANDIT;banditas;005044255;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;HIMALAYA;;NOIR;;;;;;;L;1;9005044255110;;49.99;49.99;1;20;20230117;20230220
