Code fournisseur;libelle fournisseur;num article interne;type web;libelle article;code groupe;libelle groupe;code famille;libelle famille;code sous famille;libelle sous famille;collection;modele;matiere;couleur;divers;photo;matiere interne;couleur interne;divers interne;ligne produit;libelle taille;quantite;gencod interne;gencod fournisseur;pvttc;pvpromo;code tva;taux tva;date creation;date modification;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALEX M;alex max;005040459;1;;9;ACCESSOIRES;0;ACCESSOIRES TEXTILE;4;CEINTURES FEMME;H22;CT1665;;CAMEL;;;;;;;XXL;0;9005040459062;;29.99;29.99;1;20;20220909;20221226
ANDROM;androméde;005040842;1;;2;FEMME;3;MAILLE FEMME;3;PULL FEMME;H22;180A;ROCK;NOIR;;;;;;;TU;1;9005040842017;;39.99;39.99;1;20;20220921;20221226
ANDROM;androméde;005040854;1;;2;FEMME;3;MAILLE FEMME;3;PULL FEMME;H22;2531;ARGENT;VERT;;;;;;;TU;1;9005040854010;;39.99;39.99;1;20;20220921;20221226
ANDROM;androméde;005040857;1;;2;FEMME;0;PIECES A MANCHES FEMME;1;VESTES FEMME;H22;39022;IMPRI;NOIR;;;;;;;TU;1;9005040857011;;59.99;59.99;1;20;20220921;20221226
ANDROM;androméde;005038691;1;;2;FEMME;3;MAILLE FEMME;3;PULL FEMME;H22;81242;SM;GRIS;;;;;;;TU;1;9005038691016;;44.99;44.99;1;20;20220803;20221226
ANDROM;androméde;005025169;1;;2;FEMME;1;PETITS HAUTS FEMME;5;HAUTS;H21;9607;RAYÉ;KAKI;;;;;;;TU;1;9005025169016;;19.99;19.99;1;20;20210721;20221226
ANGELI;MODAS Y CREATIONES ANGELINA SL;005037400;1;;2;FEMME;1;PETITS HAUTS FEMME;6;DEBARDEUR;H22;12597;SATINÉ;VERT;;;;;;;TU;1;9005037400015;;29.99;29.99;1;20;20220704;20221226
ANGELI;MODAS Y CREATIONES ANGELINA SL;005037404;1;;2;FEMME;0;PIECES A MANCHES FEMME;1;VESTES FEMME;H22;22371;SATINÉ;VERT;;;;;;;TU;1;9005037404013;;49.99;49.99;1;20;20220704;20221226
ANGELI;MODAS Y CREATIONES ANGELINA SL;005037414;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;22637;SATINÉ;OLIVE;;;;;;;TU;1;9005037414012;;44.99;44.99;1;20;20220704;20221226
ANGELI;MODAS Y CREATIONES ANGELINA SL;005017354;1;;9;ACCESSOIRES;0;ACCESSOIRES TEXTILE;1;BONNETS;H20;3063;;BEIGE;;;;;;;TU;1;9005017354017;;16.99;16.99;1;20;20201009;20221226
ANOUCH;ANOUCHCA;005031608;1;;9;ACCESSOIRES;0;ACCESSOIRES TEXTILE;4;CEINTURES FEMME;E22;CE-07;2ROND;NOIR;;;;;;;TU;1;9005031608011;;24.99;24.99;1;20;20220111;20221226
ANOUCH;ANOUCHCA;005019385;1;;5;CHAUSSURES;1;CHAUSSURES FEMME;6;BASKETS FEMME;E22;STS-33;ETOILE;DO/KAK;;;;;;;36;0;9005019385019;;39.99;39.99;1;20;20210114;20221226
ANOUCH;ANOUCHCA;005019385;1;;5;CHAUSSURES;1;CHAUSSURES FEMME;6;BASKETS FEMME;E22;STS-33;ETOILE;DO/KAK;;;;;;;37;0;9005019385026;;39.99;39.99;1;20;20210114;20221226
ANOUCH;ANOUCHCA;005019385;1;;5;CHAUSSURES;1;CHAUSSURES FEMME;6;BASKETS FEMME;E22;STS-33;ETOILE;DO/KAK;;;;;;;38;0;9005019385033;;39.99;39.99;1;20;20210114;20221226
ANOUCH;ANOUCHCA;005019385;1;;5;CHAUSSURES;1;CHAUSSURES FEMME;6;BASKETS FEMME;E22;STS-33;ETOILE;DO/KAK;;;;;;;39;0;9005019385040;;39.99;39.99;1;20;20210114;20221226
ANOUCH;ANOUCHCA;005019385;1;;5;CHAUSSURES;1;CHAUSSURES FEMME;6;BASKETS FEMME;E22;STS-33;ETOILE;DO/KAK;;;;;;;40;1;9005019385057;;39.99;39.99;1;20;20210114;20221226
ANOUCH;ANOUCHCA;005019385;1;;5;CHAUSSURES;1;CHAUSSURES FEMME;6;BASKETS FEMME;E22;STS-33;ETOILE;DO/KAK;;;;;;;41;0;9005019385064;;39.99;39.99;1;20;20210114;20221226
APRIL;april vintage;005040880;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;03772;CEINTU;NOIR;;;;;;;XXXS;0;9005040880026;;44.99;44.99;1;20;20220921;20221226
APRIL;april vintage;005040880;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;03772;CEINTU;NOIR;;;;;;;XXS;0;9005040880033;;44.99;44.99;1;20;20220921;20221226
APRIL;april vintage;005040880;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;03772;CEINTU;NOIR;;;;;;;XXS/;0;9005040880040;;44.99;44.99;1;20;20220921;20221226
APRIL;april vintage;005040880;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;03772;CEINTU;NOIR;;;;;;;XS;0;9005040880057;;44.99;44.99;1;20;20220921;20221226
APRIL;april vintage;005040880;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;03772;CEINTU;NOIR;;;;;;;XS/S;0;9005040880064;;44.99;44.99;1;20;20220921;20221226
APRIL;april vintage;005040880;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;03772;CEINTU;NOIR;;;;;;;S;0;9005040880071;;44.99;44.99;1;20;20220921;20221226
APRIL;april vintage;005040880;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;03772;CEINTU;NOIR;;;;;;;S/M;1;9005040880088;;44.99;44.99;1;20;20220921;20221226
APRIL;april vintage;005040880;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;03772;CEINTU;NOIR;;;;;;;M;0;9005040880095;;44.99;44.99;1;20;20220921;20221226
APRIL;april vintage;005040880;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;03772;CEINTU;NOIR;;;;;;;M/L;0;9005040880101;;44.99;44.99;1;20;20220921;20221226
APRIL;april vintage;005040880;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;03772;CEINTU;NOIR;;;;;;;L;0;9005040880118;;44.99;44.99;1;20;20220921;20221226
APRIL;april vintage;005040880;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;03772;CEINTU;NOIR;;;;;;;L/XL;1;9005040880125;;44.99;44.99;1;20;20220921;20221226
APRIL;april vintage;005040880;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;03772;CEINTU;NOIR;;;;;;;XL;0;9005040880132;;44.99;44.99;1;20;20220921;20221226
APRIL;april vintage;005040880;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;03772;CEINTU;NOIR;;;;;;;XXL;0;9005040880149;;44.99;44.99;1;20;20220921;20221226
APRIL;april vintage;005040880;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;03772;CEINTU;NOIR;;;;;;;XXL/;0;9005040880156;;44.99;44.99;1;20;20220921;20221226
APRIL;april vintage;005040880;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;H22;03772;CEINTU;NOIR;;;;;;;XXXL;0;9005040880163;;44.99;44.99;1;20;20220921;20221226
APRIL;april vintage;005031513;1;;2;FEMME;2;HAUT FEMME;0;CHEMISIERS;E22;3055;;BLANC;;;;;;;TU;1;9005031513018;;29.99;29.99;1;20;20220110;20221226
ASTRA;astra;005043334;1;;9;ACCESSOIRES;0;ACCESSOIRES TEXTILE;1;BONNETS;H22;7114;;BEIGE;;;;;;;TU;2;9005043334014;;24.99;24.99;1;20;20221202;20221226
ASTRA;astra;005043335;1;;9;ACCESSOIRES;0;ACCESSOIRES TEXTILE;1;BONNETS;H22;7114;;BLANC;;;;;;;TU;2;9005043335011;;24.99;24.99;1;20;20221202;20221226
ASTRA;astra;005043333;1;;9;ACCESSOIRES;0;ACCESSOIRES TEXTILE;1;BONNETS;H22;7114;;GRIS;;;;;;;TU;2;9005043333017;;24.99;24.99;1;20;20221202;20221226
ASTRA;astra;005043336;1;;9;ACCESSOIRES;0;ACCESSOIRES TEXTILE;1;BONNETS;H22;7114;;VERT;;;;;;;TU;2;9005043336018;;24.99;24.99;1;20;20221202;20221226
ATIWEL;sarl atiwell mochimo;005041339;1;;9;ACCESSOIRES;1;BIJOUX;3;BAGUES;H22;3691;ETOILE;DORÉ;;;;;;;TU;1;9005041339011;;14.99;14.99;1;20;20220930;20221226
ATIWEL;sarl atiwell mochimo;005043154;1;;9;ACCESSOIRES;1;BIJOUX;3;BAGUES;H22;3930;STRASS;DORÉ;;;;;;;TU;1;9005043154018;;14.99;14.99;1;20;20221128;20221226
ATIWEL;sarl atiwell mochimo;005038119;1;;9;ACCESSOIRES;3;DIVERS;0;DIVERS;H22;BL-2254;ÉCAILL;JAUNE;;;;;;;TU;1;9005038119015;;19.99;19.99;1;20;20220719;20221226
ATIWEL;sarl atiwell mochimo;005038118;1;;9;ACCESSOIRES;3;DIVERS;0;DIVERS;H22;BL-2254;ÉCAILL;ÉCRU;;;;;;;TU;1;9005038118018;;19.99;19.99;1;20;20220719;20221226
ATIWEL;sarl atiwell mochimo;005043142;1;;9;ACCESSOIRES;3;DIVERS;0;DIVERS;H22;BL-2255;GRANDE;NOIR;;;;;;;TU;2;9005043142015;;19.99;19.99;1;20;20221128;20221226
ATIWEL;sarl atiwell mochimo;005043141;1;;9;ACCESSOIRES;3;DIVERS;0;DIVERS;H22;BL-2270;PETIT;NOIR;;;;;;;TU;2;9005043141018;;19.99;19.99;1;20;20221128;20221226
ATIWEL;sarl atiwell mochimo;005035956;1;;9;ACCESSOIRES;0;ACCESSOIRES TEXTILE;8;FOULARD;E22;FOULARD;CEINTU;VE/ROU;;;;;;;TU;1;9005035956019;;9.99;9.99;1;20;20220509;20221226
ATIWEL;sarl atiwell mochimo;005043144;1;;9;ACCESSOIRES;1;BIJOUX;1;BRACELETS;H22;IO010300;STRASS;DORÉ;;;;;;;TU;1;9005043144019;;19.99;19.99;1;20;20221128;20221226
ATIWEL;sarl atiwell mochimo;005041344;1;;9;ACCESSOIRES;1;BIJOUX;0;COLLIERS;H22;IO010472;STRASS;DORÉ;;;;;;;TU;1;9005041344015;;16.99;16.99;1;20;20220930;20221226
ATIWEL;sarl atiwell mochimo;005029792;1;;9;ACCESSOIRES;1;BIJOUX;3;BAGUES;H21;IO01090R;STRASS;ARGENT;;;;;;;TU;1;9005029792012;;14.99;14.99;1;20;20211119;20221226
ATIWEL;sarl atiwell mochimo;005038130;1;;9;ACCESSOIRES;1;BIJOUX;0;COLLIERS;H22;IO012004;ROND;DORÉ;;;;;;;TU;1;9005038130010;;16.99;16.99;1;20;20220719;20221226
ATIWEL;sarl atiwell mochimo;005043163;1;;9;ACCESSOIRES;1;BIJOUX;2;BOUCLES D'OREILLES;H22;IO012663;;ARGENT;;;;;;;TU;1;9005043163010;;19.99;19.99;1;20;20221128;20221226
ATIWEL;sarl atiwell mochimo;005027404;1;;9;ACCESSOIRES;1;BIJOUX;3;BAGUES;H22;IO02014R;MENOTT;DORÉ;;;;;;;TU;1;9005027404016;;12.99;12.99;1;20;20210904;20221226
ATIWEL;sarl atiwell mochimo;005027406;1;;9;ACCESSOIRES;1;BIJOUX;3;BAGUES;H22;IO05083R;ÉTOILE;DORÉ;;;;;;;TU;1;9005027406010;;16.99;16.99;1;20;20210904;20221226
ATIWEL;sarl atiwell mochimo;005029817;1;;9;ACCESSOIRES;1;BIJOUX;0;COLLIERS;H22;IO0539N;MENOTT;NOIR;;;;;;;TU;1;9005029817012;;14.99;14.99;1;20;20211119;20221226
ATIWEL;sarl atiwell mochimo;005041347;1;;9;ACCESSOIRES;1;BIJOUX;1;BRACELETS;H22;IO05697;STRASS;DORÉ;;;;;;;TU;1;9005041347016;;14.99;14.99;1;20;20220930;20221226
ATIWEL;sarl atiwell mochimo;005043145;1;;9;ACCESSOIRES;1;BIJOUX;0;COLLIERS;H22;IO05992B;;DORÉ;;;;;;;TU;1;9005043145016;;19.99;19.99;1;20;20221128;20221226
ATIWEL;sarl atiwell mochimo;005041341;1;;9;ACCESSOIRES;1;BIJOUX;3;BAGUES;H22;IO06133R;STRASS;DORÉ;;;;;;;TU;1;9005041341014;;14.99;14.99;1;20;20220930;20221226
ATIWEL;sarl atiwell mochimo;005027396;1;;9;ACCESSOIRES;1;BIJOUX;3;BAGUES;H21;IO06386R;X;STRASS;;;;;;;TU;1;9005027396014;;14.99;14.99;1;20;20210904;20221226
ATIWEL;sarl atiwell mochimo;005041340;1;;9;ACCESSOIRES;1;BIJOUX;3;BAGUES;H22;IO06791R;BARRE;DORÉ;;;;;;;TU;1;9005041340017;;14.99;14.99;1;20;20220930;20221226
ATIWEL;sarl atiwell mochimo;005027382;1;;9;ACCESSOIRES;1;BIJOUX;1;BRACELETS;H22;IO06908B;DORÉ;KAKI;;;;;;;TU;1;9005027382017;;12.99;12.99;1;20;20210904;20221226
ATIWEL;sarl atiwell mochimo;005033639;1;;9;ACCESSOIRES;1;BIJOUX;1;BRACELETS;E22;IO07045B;JONC;DORÉ;;;;;;;TU;1;9005033639013;;24.99;24.99;1;20;20220226;20221226
ATIWEL;sarl atiwell mochimo;005029813;1;;9;ACCESSOIRES;1;BIJOUX;3;BAGUES;H21;IO07674;CROIX;BLANC;;;;;;;TU;1;9005029813014;;14.99;14.99;1;20;20211119;20221226
ATIWEL;sarl atiwell mochimo;005041342;1;;9;ACCESSOIRES;1;BIJOUX;3;BAGUES;H22;IO08049N;AMOUR;DORÉ;;;;;;;TU;1;9005041342011;;14.99;14.99;1;20;20220930;20221226
ATIWEL;sarl atiwell mochimo;005029801;1;;9;ACCESSOIRES;1;BIJOUX;3;BAGUES;E22;IO08051R;MENOTT;DORÉ;;;;;;;TU;1;9005029801011;;16.99;16.99;1;20;20211119;20221226
ATIWEL;sarl atiwell mochimo;005029811;1;;9;ACCESSOIRES;1;BIJOUX;3;BAGUES;H21;IO08360R;ETOILE;DORÉ;;;;;;;TU;1;9005029811010;;14.99;14.99;1;20;20211119;20221226
ATIWEL;sarl atiwell mochimo;005033660;1;;9;ACCESSOIRES;1;BIJOUX;0;COLLIERS;E22;IO09273B;MENOTT;ROUGE;;;;;;;TU;1;9005033660017;;14.99;14.99;1;20;20220228;20221226
ATIWEL;sarl atiwell mochimo;005029796;1;;9;ACCESSOIRES;1;BIJOUX;3;BAGUES;H22;IO09463;DORÉ;MARRON;;;;;;;TU;1;9005029796010;;14.99;14.99;1;20;20211119;20221226
ATIWEL;sarl atiwell mochimo;005043149;1;;9;ACCESSOIRES;1;BIJOUX;3;BAGUES;H22;IO09463;DORÉ;NOIR;;;;;;;TU;1;9005043149014;;14.99;14.99;1;20;20221128;20221226
ATIWEL;sarl atiwell mochimo;005041345;1;;9;ACCESSOIRES;1;BIJOUX;0;COLLIERS;H22;IO09871N;AMOUR;DORÉ;;;;;;;TU;1;9005041345012;;24.99;24.99;1;20;20220930;20221226
AUREN;AUREN MAROQUINERIE;005043182;1;;9;ACCESSOIRES;2;MAROQUINERIE;4;POCHETTE;H22;0164;;BLANC;;;;;;;TU;1;9005043182011;;39.99;39.99;1;20;20221129;20221226
AUREN;AUREN MAROQUINERIE;005038100;1;;9;ACCESSOIRES;2;MAROQUINERIE;7;SAC FEMME;H22;3851;PAILLE;NOIMAR;;;;;;;TU;1;9005038100013;;59.99;59.99;1;20;20220716;20221226
AUREN;AUREN MAROQUINERIE;005039951;1;;9;ACCESSOIRES;2;MAROQUINERIE;4;POCHETTE;H22;6516;;VERT;;;;;;;TU;1;9005039951010;;69.99;69.99;1;20;20220826;20221226
AUREN;AUREN MAROQUINERIE;005039947;1;;9;ACCESSOIRES;2;MAROQUINERIE;7;SAC FEMME;H22;6820;DORÉ;BEIGE;;;;;;;TU;1;9005039947013;;99.99;99.99;1;20;20220826;20221226
AUREN;AUREN MAROQUINERIE;005043181;1;;9;ACCESSOIRES;2;MAROQUINERIE;7;SAC FEMME;H22;6820;VERT;VIOLET;;;;;;;TU;1;9005043181014;;99.99;99.99;1;20;20221129;20221226
AUREN;AUREN MAROQUINERIE;005039949;1;;9;ACCESSOIRES;2;MAROQUINERIE;7;SAC FEMME;H22;7020;;KAKI;;;;;;;TU;1;9005039949017;;69.99;69.99;1;20;20220826;20221226
AUREN;AUREN MAROQUINERIE;005043176;1;;9;ACCESSOIRES;2;MAROQUINERIE;7;SAC FEMME;H22;7516;IRISSÉ;MARRON;;;;;;;TU;1;9005043176010;;69.99;69.99;1;20;20221129;20221226
AUREN;AUREN MAROQUINERIE;005043177;1;;9;ACCESSOIRES;2;MAROQUINERIE;7;SAC FEMME;H22;7516;IRISSÉ;VERT;;;;;;;TU;1;9005043177017;;69.99;69.99;1;20;20221129;20221226
AUREN;AUREN MAROQUINERIE;005039945;1;;9;ACCESSOIRES;2;MAROQUINERIE;7;SAC FEMME;H22;A1108-3;CLOUS;CAMEL;;;;;;;TU;1;9005039945019;;39.99;39.99;1;20;20220826;20221226
AUREN;AUREN MAROQUINERIE;005043112;1;;9;ACCESSOIRES;2;MAROQUINERIE;7;SAC FEMME;H22;A1174-1;;NOIR;;;;;;;TU;1;9005043112018;;69.99;69.99;1;20;20221126;20221226
AUREN;AUREN MAROQUINERIE;005043173;1;;9;ACCESSOIRES;2;MAROQUINERIE;4;POCHETTE;H22;A1175-1;COEUR;DORÉ;;;;;;;TU;1;9005043173019;;29.99;29.99;1;20;20221129;20221226
AUREN;AUREN MAROQUINERIE;005043172;1;;9;ACCESSOIRES;2;MAROQUINERIE;4;POCHETTE;H22;A1175-1;COEUR;NOIR;;;;;;;TU;1;9005043172012;;29.99;29.99;1;20;20221129;20221226
AUREN;AUREN MAROQUINERIE;005043116;1;;9;ACCESSOIRES;2;MAROQUINERIE;7;SAC FEMME;H22;A1176-4;ÉCAILL;NOIR;;;;;;;TU;1;9005043116016;;44.99;44.99;1;20;20221126;20221226
AVANTG;avantgarde;005040354;1;;9;ACCESSOIRES;2;MAROQUINERIE;4;POCHETTE;H22;AC0251;;BORDEA;;;;;;;TU;1;9005040354015;;39.99;39.99;1;20;20220908;20221226
AVANTG;avantgarde;005040352;1;;9;ACCESSOIRES;2;MAROQUINERIE;4;POCHETTE;H22;AC0251;;KAKI;;;;;;;TU;3;9005040352011;;39.99;39.99;1;20;20220908;20221226
AVANTG;avantgarde;005040350;1;;9;ACCESSOIRES;2;MAROQUINERIE;4;POCHETTE;H22;AC0251;;NOIR;;;;;;;TU;2;9005040350017;;39.99;39.99;1;20;20220908;20221226
AVANTG;avantgarde;005040357;1;;9;ACCESSOIRES;2;MAROQUINERIE;7;SAC FEMME;H22;BS0064;FRANGE;NOIR;;;;;;;TU;1;9005040357016;;69.99;69.99;1;20;20220908;20221226
